"ontology title","ontology iri","summary","authors","contributors","license information","project page","source page","latest json-ld file","latest n3 file","latest ntriples file","latest rdf/xml file","latest turtle file","modified","version","source title","source url"
"ACM : acm-classification.owl","http://www.rkbexplorer.com/ontologies/acm","This ontology is a representation of The ACM Computing Classification System [1998]","ReSIST Project","","","","https://archivo.dbpedia.org/info?o=http://www.rkbexplorer.com/ontologies/acm","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fwww.rkbexplorer.com%2Fontologies%2Facm&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fwww.rkbexplorer.com%2Fontologies%2Facm&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fwww.rkbexplorer.com%2Fontologies%2Facm&f=ttl","2020-05-06","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AEC3PO","https://w3id.org/lbd/aec3po/","The Architecture, Engineering and Construction Compliance Checking and Permitting ontology (AEC3PO), based on the statements on building compliance-related document and design codes.","https://w3id.org/lbd/aec3po/edlira,https://w3id.org/lbd/aec3po/pan","http://maxime-lefrancois.info/me#,https://w3id.org/lbd/aec3po/amna,https://w3id.org/lbd/aec3po/thomas,https://w3id.org/lbd/aec3po/vladimir","","","https://archivo.dbpedia.org/info?o=https://w3id.org/lbd/aec3po/","","","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Flbd%2Faec3po%2F&f=nt","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Flbd%2Faec3po%2F&f=owl","http://archivo.dbpedia.org/download?o=https%3A%2F%2Fw3id.org%2Flbd%2Faec3po%2F&f=ttl","","","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Atomic Spectroscopy Domain Ontology - (WD/2020/03)","http://purl.allotrope.org/voc/afo/domain/WD/2020/03/atomic-spectroscopy","","","","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/WD/2020/03/atomic-spectroscopy","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2020%2F03%2Fatomic-spectroscopy&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2020%2F03%2Fatomic-spectroscopy&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2020%2F03%2Fatomic-spectroscopy&f=ttl","","WD/2020/03","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Atomic Spectroscopy Domain Ontology - working draft","http://purl.allotrope.org/voc/afo/domain/WD/2018/04/atomic-spectroscopy","","","","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/WD/2018/04/atomic-spectroscopy","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2018%2F04%2Fatomic-spectroscopy&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2018%2F04%2Fatomic-spectroscopy&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2018%2F04%2Fatomic-spectroscopy&f=ttl","","WD/2018/04","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Chromatography Domain Ontology (REC/2019/12)","http://purl.allotrope.org/voc/afo/domain/REC/2019/12/chromatography","","","http://www.osthus.com","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2019/12/chromatography","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2019%2F12%2Fchromatography&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2019%2F12%2Fchromatography&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2019%2F12%2Fchromatography&f=ttl","","REC/2019/12","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Chromatography Domain Ontology (REC/2021/03)","http://purl.allotrope.org/voc/afo/domain/REC/2021/03/chromatography","","","http://www.osthus.com","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2021/03/chromatography","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F03%2Fchromatography&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F03%2Fchromatography&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F03%2Fchromatography&f=ttl","","REC/2021/03","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Chromatography Domain Ontology (REC/2021/06)","http://purl.allotrope.org/voc/afo/domain/REC/2021/06/chromatography","","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2021/06/chromatography","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fchromatography&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fchromatography&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fchromatography&f=ttl","","REC/2021/06","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Class Coordination Domain Ontology (REC/2020/09)","http://purl.allotrope.org/voc/afo/domain/REC/2020/09/class-coordination","","","","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2020/09/class-coordination","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2020%2F09%2Fclass-coordination&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2020%2F09%2Fclass-coordination&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2020%2F09%2Fclass-coordination&f=ttl","","REC/2020/09","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Class Coordination Domain Ontology (REC/2021/03)","http://purl.allotrope.org/voc/afo/domain/REC/2021/03/class-coordination","","","","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2021/03/class-coordination","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F03%2Fclass-coordination&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F03%2Fclass-coordination&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F03%2Fclass-coordination&f=ttl","","REC/2021/03","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Curation (REC/2018/07)","http://purl.allotrope.org/voc/afo/REC/2018/07/curation","Allotrope Foundation Ontology for curation. This ontology contains mainly annotation properties for annotating AFO ontologies.","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/REC/2018/07/curation","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2018%2F07%2Fcuration&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2018%2F07%2Fcuration&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2018%2F07%2Fcuration&f=ttl","","REC/2018/07","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Curation (REC/2019/12)","http://purl.allotrope.org/voc/afo/REC/2019/12/curation","Allotrope Foundation Ontology for curation. This ontology contains mainly annotation properties for annotating AFO ontologies.","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/REC/2019/12/curation","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2019%2F12%2Fcuration&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2019%2F12%2Fcuration&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2019%2F12%2Fcuration&f=ttl","","REC/2019/12","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Curation (REC/2020/12)","http://purl.allotrope.org/voc/afo/REC/2020/12/curation","Allotrope Foundation Ontology for curation. This ontology contains mainly annotation properties for annotating AFO ontologies.","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/REC/2020/12/curation","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F12%2Fcuration&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F12%2Fcuration&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F12%2Fcuration&f=ttl","","REC/2020/12","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Curation (REC/2021/03)","http://purl.allotrope.org/voc/afo/REC/2021/03/curation","Allotrope Foundation Ontology for curation. This ontology contains mainly annotation properties for annotating AFO ontologies.","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/REC/2021/03/curation","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2021%2F03%2Fcuration&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2021%2F03%2Fcuration&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2021%2F03%2Fcuration&f=ttl","","REC/2021/03","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Detection Domain Ontology (REC/2021/06)","http://purl.allotrope.org/voc/afo/domain/REC/2021/06/detection","","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2021/06/detection","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fdetection&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fdetection&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fdetection&f=ttl","","REC/2021/06","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Differential Scanning Calorimetry Domain Ontology (REC/2020/03)","http://purl.allotrope.org/voc/afo/domain/REC/2020/03/differential-scanning-calorimetry","","","","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2020/03/differential-scanning-calorimetry","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2020%2F03%2Fdifferential-scanning-calorimetry&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2020%2F03%2Fdifferential-scanning-calorimetry&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2020%2F03%2Fdifferential-scanning-calorimetry&f=ttl","","REC/2020/03","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Injection Domain Ontology (REC/2021/06)","http://purl.allotrope.org/voc/afo/domain/REC/2021/06/injection","","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2021/06/injection","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Finjection&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Finjection&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Finjection&f=ttl","","REC/2021/06","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Relation (REC/2018/11)","http://purl.allotrope.org/voc/afo/REC/2018/11/relation","Allotrope Ontology of standard relations. (REC/2018/11)","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/REC/2018/11/relation","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2018%2F11%2Frelation&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2018%2F11%2Frelation&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2018%2F11%2Frelation&f=ttl","","REC/2018/11","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Relation (REC/2020/09)","http://purl.allotrope.org/voc/afo/REC/2020/09/relation","Allotrope Ontology of standard relations. (REC/2020/09)","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/REC/2020/09/relation","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F09%2Frelation&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F09%2Frelation&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F09%2Frelation&f=ttl","","REC/2020/09","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Relation (REC/2020/12)","http://purl.allotrope.org/voc/afo/REC/2020/12/relation","Allotrope Ontology of standard relations. (REC/2020/12)","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/REC/2020/12/relation","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F12%2Frelation&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F12%2Frelation&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2020%2F12%2Frelation&f=ttl","","REC/2020/12","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Relation (REC/2021/03)","http://purl.allotrope.org/voc/afo/REC/2021/03/relation","Allotrope Ontology of standard relations. (REC/2021/03)","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/REC/2021/03/relation","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2021%2F03%2Frelation&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2021%2F03%2Frelation&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2FREC%2F2021%2F03%2Frelation&f=ttl","","REC/2021/03","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO Sampling Domain Ontology (REC/2021/06)","http://purl.allotrope.org/voc/afo/domain/REC/2021/06/sampling","","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/REC/2021/06/sampling","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fsampling&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fsampling&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FREC%2F2021%2F06%2Fsampling&f=ttl","","REC/2021/06","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO X-ray Diffraction Domain Ontology - working draft","http://purl.allotrope.org/voc/afo/domain/WD/2018/04/x-ray-diffraction","","","","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/WD/2018/04/x-ray-diffraction","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2018%2F04%2Fx-ray-diffraction&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2018%2F04%2Fx-ray-diffraction&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2018%2F04%2Fx-ray-diffraction&f=ttl","","WD/2018/04","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO function-generator Domain Ontology - (WD/2019/12)","http://purl.allotrope.org/voc/afo/domain/WD/2019/12/function-generator","","","","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/WD/2019/12/function-generator","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2019%2F12%2Ffunction-generator&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2019%2F12%2Ffunction-generator&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2019%2F12%2Ffunction-generator&f=ttl","","WD/2019/12","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFO function-generator Domain Ontology - (WD/2020/03)","http://purl.allotrope.org/voc/afo/domain/WD/2020/03/function-generator","","","","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/domain/WD/2020/03/function-generator","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2020%2F03%2Ffunction-generator&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2020%2F03%2Ffunction-generator&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fdomain%2FWD%2F2020%2F03%2Ffunction-generator&f=ttl","","WD/2020/03","DBpedia Archivo","https://archivo.dbpedia.org/list"
"AFT Molecular Scale - Perspective (REC/2020/09)","http://purl.allotrope.org/voc/afo/perspective/REC/2020/09/molecular-scale","Perspective taxonomy of materal entities of molecular granularity or smaller, as discussed in chemistry, mostly a subset of ChEBI","","http://www.allotrope.org","","","https://archivo.dbpedia.org/info?o=http://purl.allotrope.org/voc/afo/perspective/REC/2020/09/molecular-scale","","","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fperspective%2FREC%2F2020%2F09%2Fmolecular-scale&f=nt","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fperspective%2FREC%2F2020%2F09%2Fmolecular-scale&f=owl","http://archivo.dbpedia.org/download?o=http%3A%2F%2Fpurl.allotrope.org%2Fvoc%2Fafo%2Fperspective%2FREC%2F2020%2F09%2Fmolecular-scale&f=ttl","","REC/2020/09","DBpedia Archivo","https://archivo.dbpedia.org/list"
